PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,FG_PCT,FT_PCT,AST,TOV
A.J. Lawson,DAL,42,310.9,0.446,0.652,20,14
AJ Green,MIL,56,614.2816666666666,0.423,0.895,30,12
AJ Griffin,ATL,20,170.73,0.29,1.0,5,8
Aaron Gordon,DEN,73,2296.81,0.556,0.658,259,105
Aaron Holiday,HOU,78,1269.2966666666666,0.446,0.921,140,53
Aaron Nesmith,IND,72,1994.655,0.496,0.781,108,64
Aaron Wiggins,OKC,78,1227.9383333333333,0.562,0.789,86,56
Adam Flagler,OKC,2,14.016666666666667,0.143,0.0,4,0
Adama Sanogo,CHI,9,65.76166666666667,0.519,0.667,0,5
Admiral Schofield,ORL,23,84.35833333333333,0.385,0.0,7,5
Al Horford,BOS,65,1739.7966666666666,0.511,0.867,168,48
Alec Burks,NYK,66,1211.545,0.369,0.868,88,48
Aleksej Pokusevski,CHA,28,405.3833333333333,0.405,0.732,35,19
Alex Caruso,CHI,71,2040.3433333333328,0.468,0.76,247,102
Alex Fudge,DAL,6,40.21666666666667,0.4,1.0,0,2
Alex Len,SAC,48,444.245,0.617,0.588,50,27
Alondes Williams,MIA,7,15.595,0.25,1.0,0,2
Alperen Sengun,HOU,63,2045.635,0.537,0.693,312,162
Amari Bailey,CHA,10,64.63333333333334,0.333,0.857,7,4
Amen Thompson,HOU,62,1388.5316666666668,0.536,0.684,163,90
Amir Coffey,LAC,70,1460.5966666666666,0.472,0.859,76,33
Andre Drummond,CHI,79,1351.2516666666668,0.556,0.592,37,81
Andre Jackson Jr.,MIL,57,572.3283333333334,0.5,0.727,50,28
Andrew Funk,CHI,5,13.4,0.0,0.0,0,0
Andrew Nembhard,IND,68,1696.685,0.498,0.804,280,101
Andrew Wiggins,GSW,71,1920.4483333333333,0.453,0.751,119,87
Anfernee Simons,POR,46,1581.743333333333,0.43,0.916,255,126
Anthony Black,ORL,69,1164.21,0.466,0.613,91,56
Anthony Davis,LAL,76,2700.2433333333333,0.556,0.816,266,159
Anthony Edwards,MIN,79,2770.383333333333,0.461,0.836,405,241
Anthony Gill,WAS,50,466.4966666666666,0.469,0.806,34,23
Armoni Brooks,BKN,10,104.02333333333333,0.326,0.5,5,3
Ashton Hagans,POR,19,315.57166666666666,0.408,0.824,54,30
Ausar Thompson,DET,63,1582.805,0.483,0.597,120,84
Austin Reaves,LAL,82,2628.95,0.486,0.853,450,174
Ayo Dosunmu,CHI,76,2212.468333333333,0.501,0.81,242,103
Bam Adebayo,MIA,71,2416.4733333333334,0.521,0.755,278,162
Ben Sheppard,IND,57,814.26,0.393,0.885,53,15
Ben Simmons,BKN,15,358.9166666666667,0.581,0.4,86,27
Bennedict Mathurin,IND,59,1538.39,0.446,0.821,119,97
Bilal Coulibaly,WAS,63,1715.25,0.435,0.702,110,87
Bismack Biyombo,OKC,40,791.4616666666667,0.565,0.481,53,42
Blake Wesley,SAS,61,875.925,0.474,0.667,166,55
Boban Marjanovic,HOU,14,70.91,0.529,0.643,6,5
Bobby Portis,MIL,82,2008.1666666666667,0.508,0.79,104,91
Bogdan Bogdanović,ATL,79,2401.4083333333333,0.428,0.921,247,112
Bojan Bogdanovic,NYK,57,1478.003333333333,0.454,0.785,97,101
Bol Bol,PHX,43,469.0283333333333,0.616,0.789,17,19
Bones Hyland,LAC,37,540.21,0.386,0.783,93,44
Bradley Beal,PHX,53,1766.7333333333331,0.513,0.813,265,131
Brandin Podziemski,GSW,74,1968.253333333333,0.454,0.633,273,88
Brandon Boston,LAC,32,345.1716666666667,0.404,0.697,13,24
Brandon Clarke,MEM,6,134.31833333333333,0.559,0.143,9,3
Brandon Ingram,NOP,64,2102.68,0.492,0.801,363,163
Brandon Miller,CHA,74,2382.963333333333,0.44,0.827,175,132
Brandon Williams,DAL,17,112.87,0.37,0.647,17,7
Braxton Key,DEN,20,59.98333333333333,0.412,0.75,9,1
Brice Sensabaugh,UTA,32,584.3633333333333,0.39,0.902,55,47
Brook Lopez,MIL,79,2411.151666666666,0.485,0.821,127,79
Bruce Brown,TOR,67,1865.3666666666663,0.478,0.824,192,86
Bruno Fernando,ATL,45,682.3033333333333,0.583,0.667,46,44
Bryce McGowens,CHA,59,881.595,0.439,0.776,51,30
Buddy Boeheim,DET,10,84.00166666666667,0.31,0.8,3,0
Buddy Hield,PHI,84,2159.8883333333333,0.436,0.881,236,103
CJ McCollum,NOP,66,2158.536666666667,0.459,0.827,305,110
Cade Cunningham,DET,62,2074.225,0.449,0.869,464,212
Caleb Houstan,ORL,59,815.335,0.388,0.808,29,16
Caleb Martin,MIA,64,1756.5533333333333,0.431,0.778,143,77
Cam Reddish,LAL,48,984.0616666666666,0.389,0.759,48,31
Cam Thomas,BKN,66,2074.85,0.442,0.856,192,124
Cam Whitmore,HOU,47,880.3333333333334,0.454,0.679,33,46
Cameron Johnson,BKN,58,1599.0383333333334,0.446,0.789,138,57
Cameron Payne,PHI,78,1304.0766666666666,0.432,0.866,205,66
Caris LeVert,CLE,68,1958.0833333333333,0.421,0.766,346,117
Cason Wallace,OKC,82,1691.9216666666666,0.491,0.784,120,45
Cedi Osman,SAS,72,1268.7516666666668,0.479,0.673,119,47
Charles Bassey,SAS,19,205.275,0.725,0.833,21,15
Charlie Brown Jr.,NYK,8,37.28333333333333,0.2,0.0,0,2
Chet Holmgren,OKC,82,2412.7966666666666,0.53,0.793,200,131
Chimezie Metu,DET,51,858.9066666666666,0.504,0.906,46,52
Chris Boucher,TOR,50,704.8833333333333,0.507,0.772,23,28
Chris Duarte,SAC,59,719.5183333333333,0.381,0.788,44,26
Chris Livingston,MIL,21,90.53333333333332,0.5,0.75,5,5
Chris Paul,GSW,58,1530.89,0.441,0.827,393,76
Christian Braun,DEN,82,1655.565,0.46,0.694,132,55
Christian Wood,LAL,50,871.9433333333334,0.466,0.702,49,50
Chuma Okeke,ORL,47,431.73,0.357,0.571,20,16
Clint Capela,ATL,73,1883.0866666666664,0.571,0.631,91,74
Coby White,CHI,79,2881.3566666666666,0.447,0.838,405,166
Cody Martin,CHA,28,752.9916666666667,0.381,0.606,104,44
Cody Zeller,NOP,43,319.70666666666665,0.419,0.605,39,16
Colby Jones,SAC,30,191.73666666666668,0.394,0.545,20,10
Cole Anthony,ORL,81,1817.3116666666667,0.435,0.826,236,126
Cole Swider,MIA,18,86.79833333333333,0.395,1.0,5,8
Colin Castleton,LAL,16,59.08,0.563,1.0,3,3
Collin Gillespie,DEN,24,225.365,0.464,0.667,27,14
Collin Sexton,UTA,78,2074.7633333333333,0.487,0.859,383,165
Corey Kispert,WAS,80,2067.435,0.486,0.726,157,98
Cory Joseph,GSW,26,295.8933333333333,0.359,0.571,42,12
Craig Porter Jr.,CLE,51,649.355,0.509,0.732,118,45
D'Angelo Russell,LAL,76,2484.1283333333336,0.456,0.828,482,156
D'Moi Hodge,LAL,7,41.24333333333333,0.333,0.5,5,1
D.J. Carton,TOR,4,35.53333333333333,0.375,0.8,3,1
D.J. Wilson,PHI,2,15.466666666666669,0.667,0.0,2,0
DaQuan Jeffries,NYK,17,45.975,0.353,0.0,5,3
Daishen Nix,MIN,15,49.78333333333333,0.375,0.5,6,5
Dalano Banton,POR,54,1046.8466666666666,0.404,0.783,127,77
Dalen Terry,CHI,59,680.71,0.439,0.581,81,32
Damian Jones,CLE,39,269.7316666666667,0.597,0.857,15,13
Damian Lillard,MIL,73,2578.4283333333333,0.424,0.92,508,193
